region,nodes,total,run_idfeature_stor,run_tracksingle_stor,run_gettracks_stor,run_trackstats_stor,run_identifymcs_stor,run_matchpf_stor,run_robustmcs_stor,run_mapfeature_stor,run_speed_stor,regret_vs_global_best
0,32,32.22089177286874,beegfs,ssd,beegfs,ssd,beegfs,beegfs,ssd,beegfs,beegfs,27.833564340366998
0,16,32.23026932107741,beegfs,ssd,beegfs,beegfs,tmpfs,beegfs,ssd,beegfs,beegfs,27.842941888575666
0,32,32.2318759163572,beegfs,ssd,beegfs,ssd,beegfs,ssd,beegfs,beegfs,beegfs,27.844548483855455
0,16,32.24559428134948,beegfs,beegfs,ssd,beegfs,tmpfs,beegfs,ssd,beegfs,beegfs,27.85826684884774
0,32,32.33901434684942,beegfs,ssd,beegfs,beegfs,beegfs,beegfs,ssd,beegfs,beegfs,27.951686914347675
0,32,32.342502964119305,beegfs,ssd,beegfs,beegfs,ssd,beegfs,beegfs,beegfs,beegfs,27.955175531617563
0,32,32.349998490337875,beegfs,ssd,beegfs,beegfs,beegfs,ssd,beegfs,beegfs,beegfs,27.962671057836133
0,32,32.374360215070936,beegfs,beegfs,ssd,beegfs,beegfs,beegfs,ssd,beegfs,beegfs,27.987032782569194
0,32,32.377471137403774,beegfs,ssd,beegfs,beegfs,ssd,beegfs,tmpfs,beegfs,beegfs,27.99014370490203
0,32,32.377848832340824,beegfs,beegfs,ssd,beegfs,ssd,beegfs,beegfs,beegfs,beegfs,27.990521399839082
0,32,32.385344358559394,beegfs,beegfs,ssd,beegfs,beegfs,ssd,beegfs,beegfs,beegfs,27.99801692605765
0,32,32.405585205426206,beegfs,ssd,beegfs,beegfs,tmpfs,beegfs,ssd,beegfs,beegfs,28.018257772924464
0,32,32.41281700562529,beegfs,beegfs,ssd,beegfs,ssd,beegfs,tmpfs,beegfs,beegfs,28.02548957312355
0,32,32.440931073647725,beegfs,beegfs,ssd,beegfs,tmpfs,beegfs,ssd,beegfs,beegfs,28.053603641145983
